"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"2015Q1","European Union (28 countries)","Total","From 15 to 64 years","Total","Percentage","64.7",""
"2015Q1","European Union (28 countries)","Males","From 15 to 64 years","Total","Percentage","69.8",""
"2015Q1","European Union (28 countries)","Females","From 15 to 64 years","Total","Percentage","59.7",""
"2015Q1","European Union (27 countries)","Total","From 15 to 64 years","Total","Percentage","64.8",""
"2015Q1","European Union (27 countries)","Males","From 15 to 64 years","Total","Percentage","69.9",""
"2015Q1","European Union (27 countries)","Females","From 15 to 64 years","Total","Percentage","59.8",""
"2015Q1","European Union (15 countries)","Total","From 15 to 64 years","Total","Percentage","65.4",""
"2015Q1","European Union (15 countries)","Males","From 15 to 64 years","Total","Percentage","70.3",""
"2015Q1","European Union (15 countries)","Females","From 15 to 64 years","Total","Percentage","60.6",""
"2015Q1","Euro area (19 countries)","Total","From 15 to 64 years","Total","Percentage","63.7",""
"2015Q1","Euro area (19 countries)","Males","From 15 to 64 years","Total","Percentage","68.7",""
"2015Q1","Euro area (19 countries)","Females","From 15 to 64 years","Total","Percentage","58.8",""
"2015Q1","Euro area (18 countries)","Total","From 15 to 64 years","Total","Percentage","63.7",""
"2015Q1","Euro area (18 countries)","Males","From 15 to 64 years","Total","Percentage","68.7",""
"2015Q1","Euro area (18 countries)","Females","From 15 to 64 years","Total","Percentage","58.7",""
"2015Q1","Euro area (17 countries)","Total","From 15 to 64 years","Total","Percentage","63.7",""
"2015Q1","Euro area (17 countries)","Males","From 15 to 64 years","Total","Percentage","68.7",""
"2015Q1","Euro area (17 countries)","Females","From 15 to 64 years","Total","Percentage","58.7",""
"2015Q1","Belgium","Total","From 15 to 64 years","Total","Percentage","61.9",""
"2015Q1","Belgium","Males","From 15 to 64 years","Total","Percentage","65.7",""
"2015Q1","Belgium","Females","From 15 to 64 years","Total","Percentage","58.1",""
"2015Q1","Bulgaria","Total","From 15 to 64 years","Total","Percentage","61.0",""
"2015Q1","Bulgaria","Males","From 15 to 64 years","Total","Percentage","63.8",""
"2015Q1","Bulgaria","Females","From 15 to 64 years","Total","Percentage","58.1",""
"2015Q1","Czech Republic","Total","From 15 to 64 years","Total","Percentage","69.4",""
"2015Q1","Czech Republic","Males","From 15 to 64 years","Total","Percentage","76.9",""
"2015Q1","Czech Republic","Females","From 15 to 64 years","Total","Percentage","61.7",""
"2015Q1","Denmark","Total","From 15 to 64 years","Total","Percentage","73.0",""
"2015Q1","Denmark","Males","From 15 to 64 years","Total","Percentage","75.5",""
"2015Q1","Denmark","Females","From 15 to 64 years","Total","Percentage","70.3",""
"2015Q1","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","73.7",""
"2015Q1","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Total","Percentage","77.6",""
"2015Q1","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Total","Percentage","69.7",""
"2015Q1","Estonia","Total","From 15 to 64 years","Total","Percentage","69.9",""
"2015Q1","Estonia","Males","From 15 to 64 years","Total","Percentage","72.7",""
"2015Q1","Estonia","Females","From 15 to 64 years","Total","Percentage","67.1",""
"2015Q1","Ireland","Total","From 15 to 64 years","Total","Percentage","62.2",""
"2015Q1","Ireland","Males","From 15 to 64 years","Total","Percentage","67.6",""
"2015Q1","Ireland","Females","From 15 to 64 years","Total","Percentage","56.9",""
"2015Q1","Greece","Total","From 15 to 64 years","Total","Percentage","49.2",""
